t, velocity, pressure, temperature
 1.0000000e-01,  0.0000000e+00,  0.0000000e+00,  2.2863398e-03
 2.0000000e-01,  1.0000000e+01,  1.0000000e+01,  1.9393860e-03
 3.0000000e-01,  7.8086149e+00,  4.9739888e+00,  1.8930486e-03
 4.0000000e-01,  6.1123637e+00,  3.2991095e+00,  1.8491736e-03
 5.0000000e-01,  5.0004572e+00,  2.4631391e+00,  1.8076498e-03
 6.0000000e-01,  4.2236916e+00,  1.9615764e+00,  1.7683694e-03
 7.0000000e-01,  3.6509619e+00,  1.6279305e+00,  1.7312282e-03
 8.0000000e-01,  3.2111061e+00,  1.3900190e+00,  1.6961252e-03
 9.0000000e-01,  2.8625870e+00,  1.2119299e+00,  1.6629624e-03
 1.0000000e+00,  2.5795781e+00,  1.0737148e+00,  1.6316446e-03
 1.1000000e+00,  2.3451790e+00,  9.6292274e-01,  1.6020795e-03
 1.2000000e+00,  2.1478664e+00,  8.7389594e-01,  1.5741778e-03
 1.3000000e+00,  1.9795043e+00,  7.9859522e-01,  1.5478527e-03
 1.4000000e+00,  1.8341966e+00,  7.3550573e-01,  1.5230211e-03
 1.5000000e+00,  1.7075566e+00,  6.8162789e-01,  1.4996028e-03
 1.6000000e+00,  1.5962480e+00,  6.3512344e-01,  1.4775216e-03
 1.7000000e+00,  1.4976884e+00,  5.9461831e-01,  1.4567075e-03
 1.8000000e+00,  1.4099404e+00,  5.5907019e-01,  1.4371282e-03
 1.9000000e+00,  1.3317128e+00,  5.2767378e-01,  1.4186600e-03
 2.0000000e+00,  1.2614051e+00,  4.9977233e-01,  1.4012429e-03
 2.1000000e+00,  1.1978089e+00,  4.7412995e-01,  1.3848355e-03
 2.2000000e+00,  1.1401031e+00,  4.5324686e-01,  1.3693854e-03
 2.3000000e+00,  1.0876163e+00,  4.3251311e-01,  1.3548444e-03
 2.4000000e+00,  1.0397895e+00,  4.1433053e-01,  1.3412611e-03
 2.5000000e+00,  9.9650140e-01,  3.9797766e-01,  1.3285302e-03
 2.6000000e+00,  9.5695426e-01,  3.8329909e-01,  1.3166397e-03
 2.7000000e+00,  9.2112593e-01,  3.6987266e-01,  1.3054483e-03
 2.8000000e+00,  8.8814485e-01,  3.5772010e-01,  1.2950475e-03
 2.9000000e+00,  8.5841211e-01,  3.4674292e-01,  1.2854305e-03
 3.0000000e+00,  8.3151924e-01,  3.3689091e-01,  1.2766092e-03
 3.1000000e+00,  8.0737524e-01,  3.2786839e-01,  1.2682650e-03
 3.2000000e+00,  7.8529093e-01,  3.1972273e-01,  1.2603860e-03
 3.3000000e+00,  7.6518128e-01,  3.1235604e-01,  1.2533263e-03
 3.4000000e+00,  7.4707726e-01,  3.0579422e-01,  1.2470155e-03
 3.5000000e+00,  7.3117034e-01,  3.0005112e-01,  1.2413582e-03
 3.6000000e+00,  7.1756319e-01,  2.9513809e-01,  1.2361686e-03
 3.7000000e+00,  7.0527698e-01,  2.9091717e-01,  1.2312689e-03
 3.8000000e+00,  6.9481420e-01,  2.8746635e-01,  1.2273548e-03
 3.9000000e+00,  6.8583455e-01,  2.8495892e-01,  1.2235437e-03
 4.0000000e+00,  6.7825933e-01,  2.8335324e-01,  1.2201404e-03
 4.1000000e+00,  6.7183416e-01,  2.8278230e-01,  1.2175910e-03
 4.2000000e+00,  6.6666958e-01,  2.8305982e-01,  1.2214011e-03
 4.3000000e+00,  6.6319283e-01,  2.8540065e-01,  1.2170969e-03
 4.4000000e+00,  6.6008920e-01,  2.8714528e-01,  1.2152323e-03
 4.5000000e+00,  6.5768922e-01,  2.8960610e-01,  1.2126794e-03
 4.6000000e+00,  6.5552148e-01,  2.9202058e-01,  1.2130934e-03
 4.7000000e+00,  6.5442845e-01,  2.9449935e-01,  1.2142101e-03
 4.8000000e+00,  6.5434621e-01,  2.9705031e-01,  1.2366574e-03
 4.9000000e+00,  6.5662616e-01,  3.0390757e-01,  1.2187014e-03
 5.0000000e+00,  6.5811455e-01,  3.0081235e-01,  1.2161850e-03
 5.1000000e+00,  6.5997732e-01,  3.0069834e-01,  1.2269749e-03
 5.2000000e+00,  6.6301462e-01,  3.0276256e-01,  1.2185335e-03
 5.3000000e+00,  6.6431058e-01,  3.0101490e-01,  1.2198207e-03
 5.4000000e+00,  6.6532212e-01,  3.0145980e-01,  1.2229008e-03
 5.5000000e+00,  6.6541822e-01,  3.0124622e-01,  1.2246139e-03
 5.6000000e+00,  6.6799610e-01,  3.0142862e-01,  1.2137417e-03
 5.7000000e+00,  6.6983806e-01,  3.0000939e-01,  1.2176608e-03
 5.8000000e+00,  6.7083131e-01,  2.9829699e-01,  1.2183311e-03
 5.9000000e+00,  6.7034732e-01,  2.9898935e-01,  1.2152828e-03
 6.0000000e+00,  6.7149279e-01,  2.9600359e-01,  1.2106227e-03
 6.1000000e+00,  6.7281403e-01,  2.9603219e-01,  1.2134259e-03
 6.2000000e+00,  6.7215605e-01,  2.9582905e-01,  1.2238917e-03
 6.3000000e+00,  6.7374110e-01,  2.9829800e-01,  1.2153025e-03
 6.4000000e+00,  6.7387083e-01,  2.9776020e-01,  1.2140168e-03
 6.5000000e+00,  6.7214904e-01,  2.9876199e-01,  1.2205327e-03
 6.6000000e+00,  6.6941150e-01,  3.0100528e-01,  1.2185805e-03
 6.7000000e+00,  6.6857147e-01,  3.0339754e-01,  1.2296722e-03
 6.8000000e+00,  6.6930596e-01,  3.0715973e-01,  1.2291404e-03
 6.9000000e+00,  6.6714456e-01,  3.0919077e-01,  1.2400909e-03
 7.0000000e+00,  6.6687183e-01,  3.1347493e-01,  1.2406535e-03
 7.1000000e+00,  6.6617114e-01,  3.1651236e-01,  1.2482932e-03
 7.2000000e+00,  6.6581191e-01,  3.2053668e-01,  1.2554416e-03
 7.3000000e+00,  6.6527467e-01,  3.2431488e-01,  1.2591962e-03
 7.4000000e+00,  6.6490481e-01,  3.2835700e-01,  1.2661303e-03
 7.5000000e+00,  6.6549485e-01,  3.3260249e-01,  1.2727038e-03
 7.6000000e+00,  6.6580758e-01,  3.3632781e-01,  1.2849096e-03
 7.7000000e+00,  6.6631557e-01,  3.4068328e-01,  1.2993329e-03
 7.8000000e+00,  6.6742895e-01,  3.4515352e-01,  1.3007857e-03
 7.9000000e+00,  6.6889298e-01,  3.4898454e-01,  1.3079934e-03
 8.0000000e+00,  6.7059435e-01,  3.5254608e-01,  1.3141535e-03
 8.1000000e+00,  6.7309282e-01,  3.5695178e-01,  1.3334482e-03
 8.2000000e+00,  6.7583571e-01,  3.6128115e-01,  1.3446087e-03
 8.3000000e+00,  6.7842800e-01,  3.6490786e-01,  1.3475331e-03
 8.4000000e+00,  6.8221439e-01,  3.6846255e-01,  1.3507408e-03
 8.5000000e+00,  6.8534153e-01,  3.7204571e-01,  1.3562212e-03
 8.6000000e+00,  6.8896210e-01,  3.7567910e-01,  1.3823175e-03
 8.7000000e+00,  6.9287407e-01,  3.7960760e-01,  1.3871803e-03
 8.8000000e+00,  6.9692183e-01,  3.8290602e-01,  1.3819316e-03
 8.9000000e+00,  7.0147543e-01,  3.8657427e-01,  1.3980074e-03
 9.0000000e+00,  7.0577766e-01,  3.9062134e-01,  1.4139974e-03
 9.1000000e+00,  7.1052643e-01,  3.9452580e-01,  1.4229094e-03
 9.2000000e+00,  7.1526790e-01,  3.9781032e-01,  1.4232634e-03
 9.3000000e+00,  7.1959473e-01,  4.0103380e-01,  1.4365373e-03
 9.4000000e+00,  7.2371970e-01,  4.0476166e-01,  1.4547499e-03
 9.5000000e+00,  7.2871970e-01,  4.0889072e-01,  1.4550319e-03
 9.6000000e+00,  7.3371155e-01,  4.1223804e-01,  1.4556724e-03
 9.7000000e+00,  7.3744701e-01,  4.1534937e-01,  1.4934193e-03
 9.8000000e+00,  7.4056421e-01,  4.1843295e-01,  1.4822631e-03
 9.9000000e+00,  7.4433807e-01,  4.2122367e-01,  1.4906650e-03
 1.0000000e+01,  7.4817984e-01,  4.2440214e-01,  1.5157670e-03
