 iteration, total, mesh processing, checkpoint/restart, post-processing, linear solvers, gradients reconstruction, balances, Lagrangian Module, particle displacement
       0,  5.0170019e+02,  3.7486984e+02,  0.0000000e+00,  9.4280000e-06,  0.0000000e+00,  2.9619247e-01,  0.0000000e+00,  4.9860000e-05,  0.0000000e+00
       1,  7.1671973e+00,  0.0000000e+00,  0.0000000e+00,  1.6470349e-01,  8.3641183e-02,  2.8697687e+00,  1.9152622e+00,  1.6123396e+00,  1.0991214e+00
       2,  8.3036329e+00,  0.0000000e+00,  0.0000000e+00,  1.6546434e-01,  2.0429378e+00,  3.1243088e+00,  1.8976128e+00,  5.4483508e-01,  3.0356780e-02
       3,  8.9096790e+00,  0.0000000e+00,  0.0000000e+00,  1.6502781e-01,  2.1553117e+00,  3.3295016e+00,  2.2840686e+00,  5.4584937e-01,  2.7352329e-02
       4,  8.7550124e+00,  0.0000000e+00,  0.0000000e+00,  1.6515404e-01,  1.9975737e+00,  3.3252163e+00,  2.2781750e+00,  5.4695718e-01,  2.7074454e-02
       5,  8.7600601e+00,  0.0000000e+00,  0.0000000e+00,  1.6507290e-01,  1.9937757e+00,  3.3334414e+00,  2.2835007e+00,  5.5012163e-01,  3.1571593e-02
       6,  8.7622515e+00,  0.0000000e+00,  0.0000000e+00,  1.6475423e-01,  1.9965857e+00,  3.3459736e+00,  2.2567678e+00,  5.5285393e-01,  3.4054628e-02
       7,  8.7718253e+00,  0.0000000e+00,  0.0000000e+00,  1.6507973e-01,  1.9982722e+00,  3.3399405e+00,  2.2646250e+00,  5.5633189e-01,  4.0820857e-02
       8,  8.7616819e+00,  0.0000000e+00,  0.0000000e+00,  1.6500224e-01,  1.9933580e+00,  3.3168541e+00,  2.2612764e+00,  5.5789017e-01,  3.7544794e-02
       9,  8.7669279e+00,  0.0000000e+00,  0.0000000e+00,  1.6493957e-01,  1.9915796e+00,  3.3026689e+00,  2.2641129e+00,  5.5959762e-01,  5.7006406e-02
      10,  8.8238329e+00,  0.0000000e+00,  0.0000000e+00,  2.1775517e-01,  1.9905393e+00,  3.2907303e+00,  2.2653336e+00,  5.6374872e-01,  4.4612281e-02
      11,  8.6121593e+00,  0.0000000e+00,  0.0000000e+00,  1.6510642e-01,  1.8306745e+00,  3.3352664e+00,  2.2628845e+00,  5.6563032e-01,  4.2521784e-02
      12,  8.6134580e+00,  0.0000000e+00,  0.0000000e+00,  1.6504322e-01,  1.8301250e+00,  3.3345652e+00,  2.2672668e+00,  5.6879166e-01,  4.5623869e-02
      13,  8.6114991e+00,  0.0000000e+00,  0.0000000e+00,  1.6490507e-01,  1.8267432e+00,  3.3264061e+00,  2.2612727e+00,  5.7085076e-01,  4.7833508e-02
      14,  8.6175342e+00,  0.0000000e+00,  0.0000000e+00,  1.6516848e-01,  1.8300883e+00,  3.3323470e+00,  2.2510459e+00,  5.7381525e-01,  5.1624314e-02
      15,  8.6189624e+00,  0.0000000e+00,  0.0000000e+00,  1.6501117e-01,  1.8288994e+00,  3.3367750e+00,  2.2628141e+00,  5.7950903e-01,  5.7825932e-02
      16,  8.6143448e+00,  0.0000000e+00,  0.0000000e+00,  1.6508301e-01,  1.8317796e+00,  3.3331648e+00,  2.2491411e+00,  5.7850584e-01,  5.2930262e-02
      17,  8.6239476e+00,  0.0000000e+00,  0.0000000e+00,  1.6531378e-01,  1.8291146e+00,  3.3120255e+00,  2.2664142e+00,  5.8083708e-01,  5.6406873e-02
      18,  8.6307549e+00,  0.0000000e+00,  0.0000000e+00,  1.6505437e-01,  1.8286441e+00,  3.3348601e+00,  2.2560330e+00,  5.8654689e-01,  6.1280674e-02
      19,  8.6262161e+00,  0.0000000e+00,  0.0000000e+00,  1.6514938e-01,  1.8300897e+00,  3.3158046e+00,  2.2588496e+00,  5.8447814e-01,  6.0304832e-02
      20,  8.6837818e+00,  0.0000000e+00,  0.0000000e+00,  2.2271969e-01,  1.8260433e+00,  3.3408426e+00,  2.2579532e+00,  5.8634272e-01,  6.1935796e-02
      21,  8.4666892e+00,  0.0000000e+00,  0.0000000e+00,  1.6550876e-01,  1.6637060e+00,  3.3163140e+00,  2.2489121e+00,  5.9213951e-01,  6.5361268e-02
